,date,hospitalized
199,9/3/20,128
200,9/4/20,129
201,9/5/20,124
202,9/6/20,127
203,9/7/20,122
204,9/8/20,99
205,9/9/20,92
206,9/10/20,97
207,9/11/20,91
208,9/12/20,90
209,9/13/20,93
210,9/14/20,86
211,9/15/20,74
212,9/16/20,79
213,9/17/20,82
214,9/18/20,84
215,9/19/20,79
216,9/20/20,91
217,9/21/20,93
218,9/22/20,86
219,9/23/20,89
220,9/24/20,85
221,9/25/20,79
222,9/26/20,84
223,9/27/20,78
224,9/28/20,73
225,9/29/20,79
226,9/30/20,83
227,10/1/20,79
228,10/2/20,72
229,10/3/20,75
230,10/4/20,78
231,10/5/20,85
232,10/6/20,79
233,10/7/20,80
234,10/8/20,87
235,10/9/20,84
236,10/10/20,86
237,10/11/20,88
238,10/12/20,90
239,10/13/20,89
240,10/14/20,97
241,10/15/20,103
242,10/16/20,97
243,10/17/20,100
244,10/18/20,104
245,10/19/20,118
246,10/20/20,133
247,10/21/20,132
248,10/22/20,116
249,10/23/20,115
250,10/24/20,118
251,10/25/20,114
252,10/26/20,112
253,10/27/20,114
254,10/28/20,111
255,10/29/20,112
256,10/30/20,97
257,10/31/20,105
258,11/1/20,117
259,11/2/20,126
260,11/3/20,134
261,11/4/20,132
262,11/5/20,131
263,11/6/20,129
264,11/7/20,135
265,11/8/20,140
266,11/9/20,145
267,11/10/20,156
268,11/11/20,163
269,11/12/20,164
270,11/13/20,177
271,11/14/20,187
272,11/15/20,182
273,11/16/20,196
274,11/17/20,204
275,11/18/20,213
276,11/19/20,212
277,11/20/20,205
278,11/21/20,210
279,11/22/20,219
280,11/23/20,239
281,11/24/20,226
282,11/25/20,209
283,11/26/20,218
284,11/27/20,215
285,11/28/20,205
286,11/29/20,218
287,11/30/20,234
288,12/1/20,222
